userid,state,weixin,android,ios,first_platform,last_platform,change
1236,new,3,0,0,weixin,weixin,False
1238,new,2,0,0,weixin,weixin,False
1252,normal,3,0,0,weixin,weixin,False
1254,normal,2,0,0,weixin,weixin,False
1263,normal,4,0,0,weixin,weixin,False
1272,normal,16,0,0,weixin,weixin,False
1276,new,1,0,0,weixin,None,False
1277,new,1,0,0,weixin,None,False
1280,normal,1,0,0,weixin,None,False
1282,new,7,0,0,weixin,weixin,False
1284,normal,1,0,0,weixin,None,False
1285,normal,5,0,0,weixin,weixin,False
1288,new,2,0,0,weixin,weixin,False
1305,new,1,0,0,weixin,None,False
1312,new,1,0,0,weixin,None,False
1318,normal,3,0,0,weixin,weixin,False
1319,normal,2,0,0,weixin,weixin,False
1323,normal,2,0,0,weixin,weixin,False
1328,normal,80,0,0,weixin,weixin,False
1341,normal,1,0,0,weixin,None,False
7660,normal,16,0,0,weixin,weixin,False
7350,normal,4,0,0,weixin,weixin,False
7384,normal,1,0,0,weixin,None,False
7453,normal,2,0,0,weixin,weixin,False
7456,normal,2,0,0,weixin,weixin,False
7467,normal,18,0,0,weixin,weixin,False
7465,normal,10,0,0,weixin,weixin,False
7480,normal,2,0,0,weixin,weixin,False
7486,new,1,0,0,weixin,None,False
7492,new,6,0,0,weixin,weixin,False
7499,normal,26,0,0,weixin,weixin,False
379,new,1,0,0,weixin,None,False
7543,new,0,2,0,android,android,False
130,normal,4,0,0,weixin,weixin,False
7565,normal,1,0,0,weixin,None,False
7569,normal,18,0,0,weixin,weixin,False
7649,normal,12,0,0,weixin,weixin,False
7687,normal,1,0,0,weixin,None,False
7732,new,1,0,0,weixin,None,False
7783,new,2,0,0,weixin,weixin,False
7792,normal,0,0,1,ios,None,False
7816,normal,1,0,0,weixin,None,False
7820,normal,2,0,0,weixin,weixin,False
7837,new,7,0,0,weixin,weixin,False
7862,normal,2,0,0,weixin,weixin,False
7876,normal,4,12,0,android,weixin,True
7906,disabled,11,0,0,weixin,weixin,False
7908,normal,1,0,0,weixin,None,False
7915,new,1,0,0,weixin,None,False
7919,normal,1,0,0,weixin,None,False
7920,normal,8,0,0,weixin,weixin,False
7921,normal,1,0,0,weixin,None,False
7941,normal,14,0,0,weixin,weixin,False
7942,normal,2,0,0,weixin,weixin,False
7943,normal,1,0,0,weixin,None,False
7957,normal,5,0,0,weixin,weixin,False
7959,normal,11,0,0,weixin,weixin,False
7972,normal,3,0,0,weixin,weixin,False
7977,normal,11,0,0,weixin,weixin,False
7979,normal,4,0,0,weixin,weixin,False
7982,normal,19,0,0,weixin,weixin,False
7983,new,1,0,0,weixin,None,False
7988,new,2,0,0,weixin,weixin,False
7993,new,1,0,0,weixin,None,False
7995,normal,7,0,0,weixin,weixin,False
8000,normal,6,0,0,weixin,weixin,False
8007,normal,1,0,0,weixin,None,False
8009,normal,3,0,0,weixin,weixin,False
1253,normal,2,0,0,weixin,weixin,False
8027,new,1,0,0,weixin,None,False
8030,normal,1,0,0,weixin,None,False
8031,new,2,0,0,weixin,weixin,False
8042,new,0,2,0,android,android,False
8043,new,5,0,0,weixin,weixin,False
8044,new,5,0,0,weixin,weixin,False
8052,normal,1,0,0,weixin,None,False
8055,new,1,0,0,weixin,None,False
8057,new,1,0,0,weixin,None,False
8060,normal,17,0,0,weixin,weixin,False
8061,normal,2,0,0,weixin,weixin,False
8067,normal,4,0,0,weixin,weixin,False
