"amount","initamount","customamount"
"200.00","130.00",""
"54.00","54.00","54.00"
"70.00","99.00","70.00"
"79.00","79.00",""
"160.00","160.00",""
"69.00","69.00",""
"170.00","140.00","170.00"
"230.00","300.00","230.00"
"100.00","109.00","100.00"
"77.00","99.00","70.00"
"77.00","109.00","70.00"
"79.00","69.00","79.00"
"79.00","99.00","79.00"
"49.00","49.00",""
"49.00","49.00",""
"89.00","89.00",""
"70.00","69.00","70.00"
"78.00","99.00","78.00"
"100.00","109.00","100.00"
"77.00","109.00","70.00"
"140.00","160.00","140.00"
"70.00","99.00","70.00"
"100.00","99.00","100.00"
"89.00","89.00",""
"290.00","500.00","290.00"
"440.00","440.00",""
"69.00","69.00",""
"78.00","99.00","78.00"
"78.00","99.00","78.00"
"78.00","107.00","78.00"
"78.00","107.00","78.00"
"99.00","89.00","99.00"
"100.00","74.00","100.00"
"78.00","99.00","78.00"
"165.00","165.00",""
"49.00","49.00",""
"54.00","54.00",""
"78.00","99.00","78.00"
"69.00","69.00",""
"334.00","200.00","334.00"
"210.00","160.00",""
"84.00","84.00",""
"89.00","89.00",""
"123.80","104.00","98.80"
"78.00","109.00","78.00"
